source_iso3,destination_iso3,transport_cost_per_kg
BTN,RUS,0.15508848
BTN,SVK,0.19556463
BTN,SWE,0.19140575999999998
BTN,THA,0.05695043999999999
BTN,TUR,0.16055055000000001
BTN,USA,0.37548570000000003
BTN,VNM,0.053600159999999994
BTN,YUG,0.18939117
BWA,AUS,0.3320421
BWA,BEL,0.26026308
BWA,BRA,0.23061285
BWA,CAN,0.384837
BWA,CHE,0.24581394
BWA,CHN,0.3537894
BWA,CZE,0.25222970999999994
BWA,DEU,0.26061027000000003
BWA,ESP,0.23626139999999998
BWA,FIN,0.28343448
BWA,FRA,0.25568292
BWA,GBR,0.26586203999999997
BWA,HUN,0.24212435999999998
BWA,IND,0.24263184
BWA,ITA,0.22631628
BWA,JPN,0.4101459
BWA,KOR,0.37785209999999997
BWA,NLD,0.26464814999999997
BWA,NOR,0.28574433
BWA,POL,0.25750269000000003
