Year,region,scrap,inuse_sum
2039,India,39727.20021362935,39727.20021362935
2039,Italy,24359.11968149192,24359.11968149192
2039,Japan,22243.80422685442,22243.80422685442
2039,Korea,24763.687882395854,24763.687882395854
2039,Netherlands,144.564508495501,144.564508495501
2039,Norway,16576.730307484115,16576.730307484115
2039,Poland,16624.918476982617,16624.918476982617
2039,Romania,3180.419186901022,3180.419186901022
2039,Russian Federation,2602.1611529190186,2602.1611529190186
2039,Serbia,3180.419186901022,3180.419186901022
2039,Slovakia,1445.64508495501,1445.64508495501
2039,Spain,11902.477866129582,11902.477866129582
2039,Sweden,19805.337663883638,19805.337663883638
2039,Switzerland,168.65859324475116,168.65859324475116
2039,Thailand,4469.3100240333015,4469.3100240333015
2039,Turkey,11179.655323652078,11179.655323652078
2039,USA,303237.17181270604,303237.17181270604
2039,United Kingdom,13661.346052824845,13661.346052824845
2039,Viet Nam,2979.540016022201,2979.540016022201
2040,Australia,4366.897555291919,4366.897555291919
2040,Belgium,450.0565146169245,450.0565146169245
2040,Brazil,103.97375131647428,103.97375131647428
2040,Canada,100958.5125282965,100958.5125282965
2040,China,958859.3563699394,958859.3563699394
2040,Czechia,2250.2825730846225,2250.2825730846225
2040,Finland,25503.202494959056,25503.202494959056
2040,France,23102.901083668792,23102.901083668792
2040,Germany,96762.15064263876,96762.15064263876
2040,Hungary,50206.304519488025,50206.304519488025
2040,India,41589.50052658971,41589.50052658971
2040,Italy,25278.174237650594,25278.174237650594
2040,Japan,23333.631065681657,23333.631065681657
2040,Korea,25649.323953646133,25649.323953646133
2040,Netherlands,150.0188382056415,150.0188382056415
2040,Norway,17202.16011424689,17202.16011424689
2040,Poland,17252.16639364877,17252.16639364877
2040,Romania,3300.4144405241127,3300.4144405241127
2040,Russian Federation,2700.339087701547,2700.339087701547
2040,Serbia,3300.4144405241127,3300.4144405241127
2040,Slovakia,1500.1883820564149,1500.1883820564149
2040,Spain,12351.551012264483,12351.551012264483
2040,Sweden,20552.580834172884,20552.580834172884
2040,Switzerland,175.02197790658172,175.02197790658172
2040,Thailand,4678.818809241342,4678.818809241342
2040,Turkey,11601.456821236276,11601.456821236276
2040,USA,317069.5103794289,317069.5103794289
2040,United Kingdom,14176.780210433122,14176.780210433122
2040,Viet Nam,3119.2125394942277,3119.2125394942277
2041,Australia,4558.585655887377,4558.585655887377
2041,Belgium,466.31124717557327,466.31124717557327
2041,Brazil,108.53775371160421,108.53775371160421
2041,Canada,105390.15885396767,105390.15885396767
2041,China,984708.8236247667,984708.8236247667
2041,Czechia,2331.556235877866,2331.556235877866
2041,Finland,26424.30400661582,26424.30400661582
2041,France,23937.3106883461,23937.3106883461
2041,Germany,100256.91814274827,100256.91814274827
2041,Hungary,52019.61024047507,52019.61024047507
2041,India,43415.10148464169,43415.10148464169
2041,Italy,26191.148383028034,26191.148383028034
2041,Japan,24399.438344718772,24399.438344718772
2041,Korea,26532.366395598998,26532.366395598998
2041,Netherlands,155.43708239185779,155.43708239185779
2041,Norway,17823.452114266358,17823.452114266358
