,country,type,recycling_m,scrap,year,Strategy type
456,Belgium,NMC622,Direct,723.707038814185,2025,Strategy 1
459,Belgium,NMC811,Direct,370.3759037666815,2025,Strategy 1
378,Brazil,LFP,Direct,0.0,2025,Strategy 1
393,Brazil,NCA,Direct,1312.063922716729,2025,Strategy 1
381,Brazil,NMC111,Direct,335.85331720237,2025,Strategy 1
390,Brazil,NMC523,Direct,414.33045417984596,2025,Strategy 1
384,Brazil,NMC622,Direct,204.5802667700036,2025,Strategy 1
387,Brazil,NMC811,Direct,159.4369004686885,2025,Strategy 1
360,Canada,LFP,Direct,0.0,2025,Strategy 1
375,Canada,NCA,Direct,3893.7313635310456,2025,Strategy 1
364,Canada,NMC111,Hydro,1248.719152745213,2025,Strategy 1
373,Canada,NMC523,Hydro,1322.2993451207988,2025,Strategy 1
366,Canada,NMC622,Direct,602.8156483363596,2025,Strategy 1
369,Canada,NMC811,Direct,361.7635783045187,2025,Strategy 1
0,China,LFP,Direct,91306.99900766967,2025,Strategy 1
15,China,NCA,Direct,5081.3566096419745,2025,Strategy 1
4,China,NMC111,Hydro,37377.2939027401,2025,Strategy 1
13,China,NMC523,Hydro,9031.167901999801,2025,Strategy 1
6,China,NMC622,Direct,40092.55238952166,2025,Strategy 1
9,China,NMC811,Direct,19042.20780226504,2025,Strategy 1
414,Czechia,LFP,Direct,0.3282341834575253,2025,Strategy 1
429,Czechia,NCA,Direct,97.2004888368253,2025,Strategy 1
417,Czechia,NMC111,Direct,57.89088938849815,2025,Strategy 1
426,Czechia,NMC523,Direct,63.99293366715537,2025,Strategy 1
420,Czechia,NMC622,Direct,30.770840793915575,2025,Strategy 1
423,Czechia,NMC811,Direct,16.98350211251918,2025,Strategy 1
468,Finland,LFP,Direct,2.7370582434105293,2025,Strategy 1
483,Finland,NCA,Direct,779.904234707985,2025,Strategy 1
471,Finland,NMC111,Direct,490.984978636462,2025,Strategy 1
481,Finland,NMC523,Hydro,529.7593490527078,2025,Strategy 1
474,Finland,NMC622,Direct,246.64539921517638,2025,Strategy 1
477,Finland,NMC811,Direct,123.05787020197825,2025,Strategy 1
108,France,LFP,Direct,32.50367112073725,2025,Strategy 1
123,France,NCA,Direct,9894.610359314931,2025,Strategy 1
112,France,NMC111,Hydro,6077.928485640664,2025,Strategy 1
121,France,NMC523,Hydro,6659.458076567,2025,Strategy 1
114,France,NMC622,Direct,3117.885666482185,2025,Strategy 1
117,France,NMC811,Direct,1635.5687885707066,2025,Strategy 1
126,Germany,LFP,Direct,77.99663579454113,2025,Strategy 1
141,Germany,NCA,Direct,21900.364723986128,2025,Strategy 1
130,Germany,NMC111,Hydro,13100.650415372322,2025,Strategy 1
139,Germany,NMC523,Hydro,14447.253208337861,2025,Strategy 1
133,Germany,NMC622,Hydro,6911.377863381261,2025,Strategy 1
135,Germany,NMC811,Direct,3833.4104364053674,2025,Strategy 1
144,Hungary,LFP,Direct,0.09309277998955993,2025,Strategy 1
159,Hungary,NCA,Direct,27.469082718119168,2025,Strategy 1
147,Hungary,NMC111,Direct,16.353164878984543,2025,Strategy 1
156,Hungary,NMC523,Direct,18.052185618526686,2025,Strategy 1
150,Hungary,NMC622,Direct,8.68329621244456,2025,Strategy 1
153,Hungary,NMC811,Direct,4.8231330815069855,2025,Strategy 1
18,India,LFP,Direct,0.0,2025,Strategy 1
33,India,NCA,Direct,554.4809508343792,2025,Strategy 1
21,India,NMC111,Direct,162.30104723622526,2025,Strategy 1
30,India,NMC523,Direct,184.6976811729158,2025,Strategy 1
24,India,NMC622,Direct,86.73121297134391,2025,Strategy 1
27,India,NMC811,Direct,61.84620896309075,2025,Strategy 1
162,Italy,LFP,Direct,17.571360849400865,2025,Strategy 1
177,Italy,NCA,Direct,5242.107779003261,2025,Strategy 1
166,Italy,NMC111,Hydro,3060.1661075080856,2025,Strategy 1
