policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
critical_route_policy,USA,KOR,336.56657941611684,0.0,-336.56657941611684
critical_route_policy,VNM,CHN,233.55032601971737,319.60990701725603,86.05958099753866
critical_route_policy,VNM,THA,86.05958099753863,0.0,-86.05958099753863
critical_route_policy,YEM,CHN,0.0,2.1581414719741576,2.1581414719741576
critical_route_policy,YEM,IND,2.1581414719741576,0.0,-2.1581414719741576
critical_route_policy,ZAF,CHN,0.0,1.07038408796189,1.07038408796189
critical_route_policy,ZAF,THA,1.07038408796189,0.0,-1.07038408796189
critical_route_policy,ZMB,CHN,0.0,0.1765452207783217,0.1765452207783217
critical_route_policy,ZMB,IND,0.1765452207783217,0.0,-0.1765452207783217
critical_route_policy,ZWE,CHN,0.0,0.942118974559234,0.942118974559234
critical_route_policy,ZWE,THA,0.942118974559234,0.0,-0.942118974559234
