Year,country,scenario,retired_lithium_t,collected_lithium_t,capture_loss_lithium_t,avg_collection_rate,capture_loss_share_of_retired,collected_share_of_retired
2030,Jamaica,high_collection,0.0687585851410454,0.0367377120408605,0.0320208731001848,0.5343,0.46569999999999945,0.5342999999999992
2030,Bermuda,high_collection,0.0664158457998245,0.0354859864108462,0.0309298593889783,0.5343,0.4657000000000005,0.5342999999999996
2030,Cabo Verde,high_collection,0.0571834823812873,0.0305531346363218,0.0266303477449655,0.5343,0.4657000000000001,0.5342999999999999
2030,Andorra,high_collection,0.0552673609069923,0.0295293509326058,0.0257380099743861,0.5343,0.46569999999999606,0.5342999999999967
2030,Cameroon,high_collection,0.0552125628339752,0.0295000723221928,0.025712490511782263,0.5343,0.4657000000000002,0.5342999999999972
2030,Guinea,high_collection,0.0469763949390508,0.025099487815934803,0.0218769071231158,0.5343,0.4656999999999966,0.5342999999999991
2030,Bangladesh,high_collection,0.029135212251261,0.0155669439058487,0.0135682683454122,0.5343,0.4656999999999984,0.5342999999999982
2030,Palau,high_collection,0.0274350829574969,0.0146585648241906,0.012776518133306,0.5343,0.46569999999998885,0.5343000000000002
2030,Solomon Isds,high_collection,0.0229267377701921,0.0122497559906136,0.0106769817795784,0.5343,0.46569999999999734,0.5342999999999982
2030,Kiribati,high_collection,0.0212294268213715,0.0113428827506588,0.0098865440707126,0.5343,0.4656999999999949,0.5343000000000003
2030,Samoa,high_collection,0.0186404877860522,0.0099596126240876,0.008680875161964299,0.5343,0.46569999999998873,0.5342999999999952
2030,Comoros,high_collection,0.0172921577197747,0.0092391998696755,0.0080529578500987,0.5343,0.4656999999999781,0.5342999999999929
2030,Greenland,high_collection,0.0135873661225627,0.0072597297192851995,0.0063276364032772,0.5343,0.4656999999999817,0.5342999999999962
2030,New Caledonia,high_collection,0.002789710899971864,0.00149054253385493,0.001299168366116834,0.5343,0.4656999999999774,0.5342999999999868
2030,Bahamas,high_collection,0.00021998768742467948,0.00011753942139101026,0.00010244826603367674,0.5343,0.46570000000001593,0.5343000000000182
2030,Tonga,high_collection,4.383026684410137e-05,2.3418511574803364e-05,2.041175526929801e-05,0.5343,0.4657,0.5343
2030,Afghanistan,high_collection,0.0,0.0,0.0,0.5343,,
2030,Mauritania,high_collection,0.0,0.0,0.0,0.5343,,
2030,Mozambique,high_collection,0.0,0.0,0.0,0.5343,,
2030,Papua New Guinea,high_collection,0.0,0.0,0.0,0.5343,,
2030,Singapore,high_collection,0.0,0.0,0.0,0.88,,
2040,China,high_collection,367503.33350269974,353207.4538294447,14295.879673255025,0.9611,0.03890000000000002,0.9611
2040,Philippines,high_collection,34627.133683154105,26410.114860141635,8217.018823012468,0.7627,0.23729999999999996,0.7626999999999999
2040,Pakistan,high_collection,16769.978142503875,12790.462329287708,3979.5158132161687,0.7627,0.23729999999999996,0.7627000000000002
2040,Nigeria,high_collection,16299.46027099944,12431.598348691274,3867.861922308167,0.7627,0.23729999999999998,0.7627
2040,India,high_collection,91557.3844988866,87995.8022418799,3561.582257006695,0.9611,0.038900000000000066,0.9610999999999997
2040,Mexico,high_collection,9359.498041755523,7138.489156446939,2221.0088853085854,0.7627,0.23729999999999996,0.7627000000000002
2040,Sri Lanka,high_collection,7032.491230696818,5363.681061652464,1668.8101690443543,0.7627,0.2372999999999999,0.7627000000000002
2040,Uganda,high_collection,6025.671938220609,4595.779987280859,1429.8919509397501,0.7627,0.23729999999999993,0.7627
2040,Kenya,high_collection,3872.688076870433,2953.69919622908,918.9888806413536,0.7627,0.23729999999999996,0.7627000000000002
2040,Brazil,high_collection,20561.001340079343,19761.178387950255,799.8229521290864,0.9611,0.0389,0.9610999999999998
2040,Lao People's Dem. Rep.,high_collection,2279.4647873766876,1738.5477933321997,540.9169940444878,0.7627,0.2372999999999999,0.7627
2040,Senegal,high_collection,2274.979026301422,1735.1265033600946,539.8525229413274,0.7627,0.23729999999999998,0.7627
2040,Bulgaria,high_collection,2222.2333256593583,1694.8973574803929,527.3359681789658,0.7627,0.23730000000000004,0.7627000000000002
2040,Indonesia,high_collection,1787.2305932514178,1363.1207734728564,424.1098197785613,0.7627,0.23729999999999993,0.7627
2040,Egypt,high_collection,1701.0787386387813,1297.4127539597985,403.66598467898274,0.7627,0.23729999999999996,0.7627
2040,Lebanon,high_collection,1443.4467329039355,1100.9168231858316,342.5299097181038,0.7627,0.23729999999999993,0.7627
2040,Croatia,high_collection,1425.2507736456926,1087.0387650595699,338.2120085861228,0.7627,0.23729999999999998,0.7627000000000002
2040,Romania,high_collection,7252.929867366819,6970.790895526249,282.1389718405698,0.9611,0.03890000000000007,0.9611
2040,Myanmar,high_collection,1124.7956555897033,857.8816465182667,266.9140090714365,0.7627,0.23729999999999993,0.7627
2040,Saudi Arabia,high_collection,1045.4017804580365,797.3279379553444,248.073842502692,0.7627,0.23729999999999996,0.7627
2040,Albania,high_collection,867.1481958294262,661.3739289591035,205.77426687032278,0.7627,0.23729999999999993,0.7627000000000002
2040,Czechia,high_collection,4121.646234544915,3961.314196021118,160.33203852379748,0.9611,0.038900000000000066,0.9611
2040,Benin,high_collection,603.2282427426996,460.0821807398571,143.14606200284263,0.7627,0.2373,0.7627000000000002
2040,United Rep. of Tanzania,high_collection,467.4142213098939,356.4968265930561,110.91739471683782,0.7627,0.2373,0.7627
