,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
213,Hungary,NMC811,0.38078683931865287,2023,Strategy 3,Direct,2.397518212,0.9129433821563879
214,Hungary,NMC523,2.484769990468736,2023,Strategy 3,Direct,2.496014242,6.20202128430417
215,Hungary,NCA,3.6756574167508846,2023,Strategy 3,Direct,2.452491446,9.014518373008
216,Italy,LFP,28.81573232112863,2023,Strategy 3,Direct,2.252335332,64.90269202433238
217,Italy,NMC111,404.0327715229658,2023,Strategy 3,Direct,2.5573470780000003,1033.2520276704984
218,Italy,NMC622,163.2829751500727,2023,Strategy 3,Direct,2.478807863,404.74712269603384
219,Italy,NMC811,70.30297309065507,2023,Strategy 3,Direct,2.397518212,168.55265834259146
220,Italy,NMC523,374.3371386354456,2023,Strategy 3,Direct,2.496014242,934.3508293436008
221,Italy,NCA,571.0030973657052,2023,Strategy 3,Direct,2.452491446,1400.380211928897
222,Poland,LFP,4.824105237398018,2023,Strategy 3,Direct,2.252335332,10.865502671477802
223,Poland,NMC111,59.38606312645838,2023,Strategy 3,Direct,2.5573470780000003,151.87077501037191
224,Poland,NMC622,23.718762179365708,2023,Strategy 3,Direct,2.478807863,58.794254190838735
225,Poland,NMC811,9.810822594312693,2023,Strategy 3,Direct,2.397518212,23.52162584456577
226,Poland,NMC523,55.34542703540138,2023,Strategy 3,Direct,2.496014242,138.1429741099337
227,Poland,NCA,83.36455446513465,2023,Strategy 3,Direct,2.452491446,204.4508567253438
228,Slovakia,LFP,0.4928715649001103,2023,Strategy 3,Direct,2.252335332,1.1101120397626494
229,Slovakia,NMC111,9.998370575050227,2023,Strategy 3,Direct,2.5573470780000003,25.569303774865883
230,Slovakia,NMC622,3.8351376232863075,2023,Strategy 3,Direct,2.478807863,9.506569296289232
231,Slovakia,NMC811,1.4023424002149287,2023,Strategy 3,Direct,2.397518212,3.3621414439750845
232,Slovakia,NMC523,9.159649184727083,2023,Strategy 3,Direct,2.496014242,22.86261481680249
233,Slovakia,NCA,13.548869890896187,2023,Strategy 3,Direct,2.452491446,33.22848751038985
234,Spain,LFP,10.826955053572878,2023,Strategy 3,Direct,2.252335332,24.385933405138143
235,Spain,NMC111,383.19773385974963,2023,Strategy 3,Direct,2.5573470780000003,979.9696049824524
236,Spain,NMC622,134.1568494241995,2023,Strategy 3,Direct,2.478807863,332.5490532280127
237,Spain,NMC811,45.83749172359635,2023,Strategy 3,Direct,2.397518212,109.89622119972152
238,Spain,NMC523,331.8741375457232,2023,Strategy 3,Direct,2.496014242,828.3625738655921
239,Spain,NCA,493.27793144006574,2023,Strategy 3,Direct,2.452491446,1209.7599073573356
240,Sweden,LFP,7.760562923606021,2023,Strategy 3,Direct,2.252335332,17.479390069047056
241,Sweden,NMC111,904.5428374098277,2023,Strategy 3,Direct,2.5573470780000003,2313.2299821758525
242,Sweden,NMC622,290.1082675524963,2023,Strategy 3,Direct,2.478807863,719.1226547304356
243,Sweden,NMC811,93.33611014241305,2023,Strategy 3,Direct,2.397518212,223.7750239036732
244,Sweden,NMC523,734.1833800204485,2023,Strategy 3,Direct,2.496014242,1832.5321727707378
245,Sweden,NCA,1127.1993396197854,2023,Strategy 3,Direct,2.452491446,2764.4467383543724
246,United Kingdom,LFP,3.8806601896734723,2023,Strategy 3,Direct,2.252335332,8.740548056687382
