,country,type,recycling_m,scrap_sum,year,Strategy type
396,Czechia,LFP,Direct,0.44587484266791455,2023,Strategy 1
411,Czechia,NCA,Direct,13.540259415845606,2023,Strategy 1
399,Czechia,NMC111,Direct,9.943073340664807,2023,Strategy 1
408,Czechia,NMC523,Direct,9.176726471973627,2023,Strategy 1
402,Czechia,NMC622,Direct,3.854963436444261,2023,Strategy 1
405,Czechia,NMC811,Direct,1.4120081301101546,2023,Strategy 1
450,Finland,LFP,Direct,1.5834094231089357,2023,Strategy 1
465,Finland,NCA,Direct,189.78695976659733,2023,Strategy 1
453,Finland,NMC111,Direct,147.23449602972622,2023,Strategy 1
462,Finland,NMC523,Direct,132.33708930131948,2023,Strategy 1
456,Finland,NMC622,Direct,53.60629645581775,2023,Strategy 1
459,Finland,NMC811,Direct,18.040136560743242,2023,Strategy 1
90,France,LFP,Direct,30.82865907948463,2023,Strategy 1
105,France,NCA,Direct,2396.6135226315027,2023,Strategy 1
94,France,NMC111,Hydro,1934.5415240208572,2023,Strategy 1
103,France,NMC523,Hydro,1461.4590501316059,2023,Strategy 1
96,France,NMC622,Direct,572.422007215759,2023,Strategy 1
99,France,NMC811,Direct,191.58947696609516,2023,Strategy 1
108,Germany,LFP,Direct,73.31202966394625,2023,Strategy 1
123,Germany,NCA,Direct,7211.423187736689,2023,Strategy 1
112,Germany,NMC111,Hydro,4970.940427383997,2023,Strategy 1
121,Germany,NMC523,Hydro,3766.128224571796,2023,Strategy 1
114,Germany,NMC622,Direct,1482.2550478394137,2023,Strategy 1
117,Germany,NMC811,Direct,527.9810362496346,2023,Strategy 1
126,Hungary,LFP,Direct,0.1360482157713156,2023,Strategy 1
141,Hungary,NCA,Direct,3.6756574167508846,2023,Strategy 1
129,Hungary,NMC111,Direct,2.7118136486623126,2023,Strategy 1
138,Hungary,NMC523,Direct,2.484769990468736,2023,Strategy 1
132,Hungary,NMC622,Direct,1.0405530667633878,2023,Strategy 1
135,Hungary,NMC811,Direct,0.38078683931865287,2023,Strategy 1
0,India,LFP,Direct,0.2774006172682399,2023,Strategy 1
15,India,NCA,Direct,80.76258156931486,2023,Strategy 1
3,India,NMC111,Direct,39.85269195425063,2023,Strategy 1
12,India,NMC523,Direct,30.0651296506344,2023,Strategy 1
6,India,NMC622,Direct,11.19896132404273,2023,Strategy 1
9,India,NMC811,Direct,4.969954086116613,2023,Strategy 1
144,Italy,LFP,Direct,28.81573232112863,2023,Strategy 1
159,Italy,NCA,Direct,571.0030973657052,2023,Strategy 1
147,Italy,NMC111,Direct,404.0327715229658,2023,Strategy 1
156,Italy,NMC523,Direct,374.3371386354456,2023,Strategy 1
150,Italy,NMC622,Direct,163.2829751500727,2023,Strategy 1
153,Italy,NMC811,Direct,70.30297309065507,2023,Strategy 1
18,Japan,LFP,Direct,0.39267696085916365,2023,Strategy 1
33,Japan,NCA,Direct,1237.8173389294136,2023,Strategy 1
21,Japan,NMC111,Direct,838.4227588363309,2023,Strategy 1
31,Japan,NMC523,Hydro,480.91852038359184,2023,Strategy 1
24,Japan,NMC622,Direct,145.78917286278863,2023,Strategy 1
27,Japan,NMC811,Direct,27.017023810428597,2023,Strategy 1
36,Korea,LFP,Direct,4.342182466608213,2023,Strategy 1
51,Korea,NCA,Direct,4707.126719304735,2023,Strategy 1
40,Korea,NMC111,Hydro,2709.201327178395,2023,Strategy 1
49,Korea,NMC523,Hydro,1781.4498145512598,2023,Strategy 1
