,country,type,scrap_sum,year,Strategy type
342,Japan,LFP,0.39267696085916365,2023,Strategy 1
343,Japan,NMC111,838.4227588363309,2023,Strategy 1
344,Japan,NMC622,145.78917286278863,2023,Strategy 1
345,Japan,NMC811,27.017023810428597,2023,Strategy 1
346,Japan,NMC523,480.91852038359184,2023,Strategy 1
347,Japan,NCA,1237.8173389294136,2023,Strategy 1
348,Korea,LFP,4.342182466608213,2023,Strategy 1
349,Korea,NMC111,2709.201327178395,2023,Strategy 1
350,Korea,NMC622,622.5232867866337,2023,Strategy 1
351,Korea,NMC811,168.03609144313896,2023,Strategy 1
352,Korea,NMC523,1781.4498145512598,2023,Strategy 1
353,Korea,NCA,4707.126719304735,2023,Strategy 1
354,Thailand,LFP,0.2163575283362519,2023,Strategy 1
355,Thailand,NMC111,386.49796447423677,2023,Strategy 1
356,Thailand,NMC622,70.49564964314196,2023,Strategy 1
357,Thailand,NMC811,19.61790307794037,2023,Strategy 1
358,Thailand,NMC523,215.51698139099906,2023,Strategy 1
359,Thailand,NCA,603.3303033872922,2023,Strategy 1
360,Viet Nam,LFP,0.3043063680273929,2023,Strategy 1
361,Viet Nam,NMC111,867.613338323516,2023,Strategy 1
362,Viet Nam,NMC622,169.58133644348143,2023,Strategy 1
363,Viet Nam,NMC811,36.4267486233314,2023,Strategy 1
364,Viet Nam,NMC523,510.639165255263,2023,Strategy 1
365,Viet Nam,NCA,1415.4351049863808,2023,Strategy 1
366,France,LFP,30.82865907948463,2023,Strategy 1
367,France,NMC111,1934.5415240208572,2023,Strategy 1
368,France,NMC622,572.422007215759,2023,Strategy 1
369,France,NMC811,191.58947696609516,2023,Strategy 1
370,France,NMC523,1461.4590501316059,2023,Strategy 1
371,France,NCA,2396.6135226315027,2023,Strategy 1
372,Germany,LFP,73.31202966394625,2023,Strategy 1
373,Germany,NMC111,4970.940427383997,2023,Strategy 1
374,Germany,NMC622,1482.2550478394137,2023,Strategy 1
375,Germany,NMC811,527.9810362496346,2023,Strategy 1
376,Germany,NMC523,3766.128224571796,2023,Strategy 1
377,Germany,NCA,7211.423187736689,2023,Strategy 1
378,Hungary,LFP,0.1360482157713156,2023,Strategy 1
379,Hungary,NMC111,2.7118136486623126,2023,Strategy 1
380,Hungary,NMC622,1.0405530667633878,2023,Strategy 1
381,Hungary,NMC811,0.38078683931865287,2023,Strategy 1
382,Hungary,NMC523,2.484769990468736,2023,Strategy 1
383,Hungary,NCA,3.6756574167508846,2023,Strategy 1
384,Italy,LFP,28.81573232112863,2023,Strategy 1
385,Italy,NMC111,404.0327715229658,2023,Strategy 1
386,Italy,NMC622,163.2829751500727,2023,Strategy 1
387,Italy,NMC811,70.30297309065507,2023,Strategy 1
388,Italy,NMC523,374.3371386354456,2023,Strategy 1
389,Italy,NCA,571.0030973657052,2023,Strategy 1
390,Poland,LFP,4.824105237398018,2023,Strategy 1
391,Poland,NMC111,59.38606312645838,2023,Strategy 1
392,Poland,NMC622,23.718762179365708,2023,Strategy 1
393,Poland,NMC811,9.810822594312693,2023,Strategy 1
394,Poland,NMC523,55.34542703540138,2023,Strategy 1
395,Poland,NCA,83.36455446513465,2023,Strategy 1
396,Slovakia,LFP,0.4928715649001103,2023,Strategy 1
397,Slovakia,NMC111,9.998370575050227,2023,Strategy 1
398,Slovakia,NMC622,3.8351376232863075,2023,Strategy 1
399,Slovakia,NMC811,1.4023424002149287,2023,Strategy 1
