source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
PAL,IND,9.421052676729843,2030,current_policy,Direct,Strategy 3,True
PAN,CHN,33.61000405942902,2030,current_policy,Direct,Strategy 3,True
PER,CHN,1278.601998030646,2030,current_policy,Direct,Strategy 3,True
PHL,CHN,23661.71663038692,2030,current_policy,Direct,Strategy 3,True
PLW,CHN,1.0027875288554626,2030,current_policy,Direct,Strategy 3,True
POL,KOR,1960.7568976338953,2030,current_policy,Direct,Strategy 3,True
POL,POL,71000.0,2030,current_policy,Direct,Strategy 3,False
PRT,JPN,25662.68757267909,2030,current_policy,Direct,Strategy 3,True
PRY,IND,174.9393023454399,2030,current_policy,Direct,Strategy 3,True
PYF,CHN,106.57753577200523,2030,current_policy,Direct,Strategy 3,True
QAT,IND,49.701469740056204,2030,current_policy,Direct,Strategy 3,True
ROM,CHN,4380.167537796822,2030,current_policy,Direct,Strategy 3,True
RUS,RUS,8958.225692750533,2030,current_policy,Direct,Strategy 3,False
RWA,IND,25.912098192286383,2030,current_policy,Direct,Strategy 3,True
SAU,IND,2770.191641088286,2030,current_policy,Direct,Strategy 3,True
SDN,IND,2.8044104806005374,2030,current_policy,Direct,Strategy 3,True
SEN,RUS,552.6426079887958,2030,current_policy,Direct,Strategy 3,True
SLB,CHN,0.834249616251405,2030,current_policy,Direct,Strategy 3,True
SLE,IND,7.9182239740474,2030,current_policy,Direct,Strategy 3,True
SLV,CHN,32.442331583027,2030,current_policy,Direct,Strategy 3,True
SVK,KOR,5994.019619661574,2030,current_policy,Direct,Strategy 3,True
SVK,SVK,1000.0,2030,current_policy,Direct,Strategy 3,False
SVN,RUS,742.7329159652734,2030,current_policy,Direct,Strategy 3,True
SWE,JPN,35733.22133192575,2030,current_policy,Direct,Strategy 3,True
SWZ,THA,5.066041251545533,2030,current_policy,Direct,Strategy 3,True
SYC,THA,17.136144834831875,2030,current_policy,Direct,Strategy 3,True
TGO,IND,95.84619049051965,2030,current_policy,Direct,Strategy 3,True
THA,THA,8882.413237693108,2030,current_policy,Direct,Strategy 3,False
TJK,CHN,20.906227829167804,2030,current_policy,Direct,Strategy 3,True
TON,CHN,0.0016176251319344535,2030,current_policy,Direct,Strategy 3,True
TTO,CHN,140.95118186203752,2030,current_policy,Direct,Strategy 3,True
TUN,CHN,62.66247375857603,2030,current_policy,Direct,Strategy 3,True
TUR,KOR,6720.119859307746,2030,current_policy,Direct,Strategy 3,True
TUR,TUR,10000.0,2030,current_policy,Direct,Strategy 3,False
TZA,IND,696.1090447479215,2030,current_policy,Direct,Strategy 3,True
UGA,IND,3433.0353503091046,2030,current_policy,Direct,Strategy 3,True
