,country,type,recycling_m,scrap_sum,unit_cost,net_profit
285,Russian Federation,NCA,Direct,912.1992729252912,12.002727015319458,-1.5239393048444565
286,Russian Federation,NCA,Hydro,912.1992729252912,14.430451666761522,-6.052596555541521
287,Russian Federation,NCA,Pyro,912.1992729252912,19.4102418695974,-14.447578075033398
288,Serbia,LFP,Direct,0.22061865417605891,549.329987028839,-546.1911572812891
289,Serbia,LFP,Hydro,0.22061865417605891,3612.6518200003557,-3611.1358454885744
290,Serbia,LFP,Pyro,0.22061865417605891,3109.48734412789,-3108.8112102951513
291,Serbia,NMC111,Direct,27.06987084223627,60.2995760480354,-55.12813688879652
292,Serbia,NMC111,Hydro,27.06987084223627,148.57783634092507,-140.63368029236102
293,Serbia,NMC111,Pyro,27.06987084223627,165.5627273679748,-161.12557446177092
294,Serbia,NMC622,Direct,6.480811618686317,116.28062920976983,-107.85812704679827
295,Serbia,NMC622,Hydro,6.480811618686317,383.59236299322015,-375.77502994181754
296,Serbia,NMC622,Pyro,6.480811618686317,395.86393271846777,-391.39887579649957
297,Serbia,NMC811,Direct,2.1384829294868304,193.50724102601478,-183.34304284778685
298,Serbia,NMC811,Hydro,2.1384829294868304,800.4668926293905,-792.8530398053716
299,Serbia,NMC811,Pyro,2.1384829294868304,778.3363562039896,-773.9182578871039
300,Serbia,NMC523,Direct,17.32932242492793,74.01048717084888,-74.0610844101533
301,Serbia,NMC523,Hydro,17.32932242492793,199.74227667819477,-192.3761031948829
302,Serbia,NMC523,Pyro,17.32932242492793,217.30960643993478,-213.2265448117385
303,Serbia,NCA,Direct,47.92141138310073,46.38467270676518,-35.99653704225004
304,Serbia,NCA,Hydro,47.92141138310073,101.7152881451995,-93.41564089158369
305,Serbia,NCA,Pyro,47.92141138310073,116.87233779597261,-111.9610436248244
306,Turkey,LFP,Direct,15.104523933206355,78.91136870309002,-75.84218361492866
307,Turkey,LFP,Hydro,15.104523933206355,219.4380980414518,-217.99176818905866
308,Turkey,LFP,Pyro,15.104523933206355,236.6693704565804,-236.06288128322993
309,Turkey,NMC111,Direct,1204.818592593507,10.54299615510206,-5.441201655251665
310,Turkey,NMC111,Hydro,1204.818592593507,11.96912295180313,-4.094611562627548
311,Turkey,NMC111,Pyro,1204.818592593507,16.355104359146058,-11.987596112330666
312,Turkey,NMC622,Direct,364.4661655048376,18.26609480355751,-9.913237299974448
313,Turkey,NMC622,Hydro,364.4661655048376,26.483499011668204,-18.735810619654025
314,Turkey,NMC622,Pyro,364.4661655048376,33.92414261029592,-29.528730347716177
315,Turkey,NMC811,Direct,145.04104495770196,27.898670060427524,-17.804116541588076
316,Turkey,NMC811,Hydro,145.04104495770196,48.840418425793146,-41.2962102611628
317,Turkey,NMC811,Pyro,145.04104495770196,59.52380171033133,-55.1753480528341
318,Turkey,NMC523,Direct,929.4544969938761,11.878565854046407,-11.998807752739314
319,Turkey,NMC523,Hydro,929.4544969938761,14.220575991020489,-6.924047167097064
320,Turkey,NMC523,Pyro,929.4544969938761,19.16103642935162,-15.147619460543813
321,Turkey,NCA,Direct,2559.74083961778,7.456435944883617,2.8620550602430432
322,Turkey,NCA,Hydro,2559.74083961778,7.255638324065796,0.9743642701615162
323,Turkey,NCA,Pyro,2559.74083961778,10.326431511638468,-5.484781999878736
324,USA,LFP,Direct,669.1090368942072,13.757340965060509,-10.648291434534658
325,USA,LFP,Hydro,669.1090368942072,17.67643621715129,-16.22318389829703
326,USA,LFP,Pyro,669.1090368942072,23.332355299486448,-22.702778252784327
327,USA,NMC111,Direct,4483.305127807744,5.633158010260539,-0.48457177944082863
328,USA,NMC111,Hydro,4483.305127807744,4.839113214523241,3.078941328086441
329,USA,NMC111,Pyro,4483.305127807744,6.888946013160597,-2.494750998476246
330,USA,NMC622,Direct,1492.982382855063,9.43880504284225,-1.0409395553626863
331,USA,NMC622,Hydro,1492.982382855063,10.233027151448082,-2.4435291136316923
332,USA,NMC622,Pyro,1492.982382855063,13.94495419629128,-9.520994785536008
333,USA,NMC811,Direct,734.9422201188797,13.164457648601177,-3.026742359594526
334,USA,NMC811,Hydro,734.9422201188797,16.582003837216728,-8.997723729738448
335,USA,NMC811,Pyro,734.9422201188797,21.969503104011572,-17.590719005587793
336,USA,NMC523,Direct,3943.904900285594,5.982531834073377,-6.057374965384426
337,USA,NMC523,Hydro,3943.904900285594,5.280583960445432,2.0582068618617098
338,USA,NMC523,Pyro,3943.904900285594,7.479231308355338,-3.4378938122427583
339,USA,NCA,Direct,30741.466996979034,2.281726332758357,8.081174969723236
340,USA,NCA,Hydro,30741.466996979034,1.3040950666926652,6.9657073903647175
341,USA,NCA,Pyro,30741.466996979034,2.004092177308367,2.867413927543604
342,Canada,LFP,Direct,15.559752947199147,81.03482676246662,-77.88227849895887
343,Canada,LFP,Hydro,15.559752947199147,234.24178265344818,-232.71550784519036
344,Canada,LFP,Pyro,15.559752947199147,263.7029267390649,-263.0148152086846
345,Canada,NMC111,Direct,707.8791407972393,13.383734843416144,-8.197858359094681
346,Canada,NMC111,Hydro,707.8791407972393,17.00188676048637,-9.04363047502931
347,Canada,NMC111,Pyro,707.8791407972393,22.492711572645025,-18.04320753001799
348,Canada,NMC622,Direct,263.87948071741414,21.317457256985406,-12.880702859194612
349,Canada,NMC622,Hydro,263.87948071741414,33.49287656439442,-25.661623153273602
350,Canada,NMC622,Pyro,263.87948071741414,42.49902928088895,-38.02142818039754
351,Canada,NMC811,Direct,123.79224296375664,30.464646675791645,-20.286387834851595
352,Canada,NMC811,Hydro,123.79224296375664,56.3388136122137,-48.71122074097858
353,Canada,NMC811,Pyro,123.79224296375664,69.23682714850415,-64.80599960997455
354,Canada,NMC523,Direct,629.0983944808944,14.149744858270642,-14.186049313162597
355,Canada,NMC523,Hydro,629.0983944808944,18.43758525897735,-11.057444477645486
