,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
46,IRL,KOR,161.0,8968.355,24546.387635000003,2025,Strategy 3,baseline,baseline
47,IRN,KOR,298.0,6562.448,33245.36156800001,2025,Strategy 3,baseline,baseline
48,ISL,KOR,452.0,8396.076,64515.447984,2025,Strategy 3,baseline,baseline
49,ISR,KOR,1354.0,8092.951,186283.546118,2025,Strategy 3,baseline,baseline
50,JAM,KOR,40.0,13375.87,9095.591600000002,2025,Strategy 3,baseline,baseline
51,JOR,KOR,136.0,8009.55,18518.0796,2025,Strategy 3,baseline,baseline
52,KAZ,KOR,383.0,4552.944,29644.218384000003,2025,Strategy 3,baseline,baseline
53,KEN,KOR,257.0,10118.59,44208.11971,2025,Strategy 3,baseline,baseline
54,KGZ,KOR,18.0,4422.647,1353.329982,2025,Strategy 3,baseline,baseline
55,KHM,KOR,62.0,3628.807,3824.762578,2025,Strategy 3,baseline,baseline
56,KWT,KOR,93.0,7181.025,11353.200525,2025,Strategy 3,baseline,baseline
57,LAO,KOR,40.0,3218.349,2188.4773200000004,2025,Strategy 3,baseline,baseline
58,LBN,KOR,51.0,7926.322,6872.121174000001,2025,Strategy 3,baseline,baseline
59,LCA,KOR,2.0,14239.55,484.1447,2025,Strategy 3,baseline,baseline
60,LKA,KOR,108.0,5840.513,10723.181868,2025,Strategy 3,baseline,baseline
61,LSO,KOR,6.0,12727.98,1298.2539600000002,2025,Strategy 3,baseline,baseline
62,LTU,KOR,21.0,7365.838,2629.604166,2025,Strategy 3,baseline,baseline
63,LUX,KOR,27.0,8733.371,4008.6172890000003,2025,Strategy 3,baseline,baseline
64,LVA,KOR,13.0,7297.289,1612.700869,2025,Strategy 3,baseline,baseline
65,MAR,KOR,83.0,10750.38,15168.78618,2025,Strategy 3,baseline,baseline
66,MDA,KOR,26.0,7611.25,3364.1725,2025,Strategy 3,baseline,baseline
67,MDG,KOR,18.0,10400.05,3182.4153,2025,Strategy 3,baseline,baseline
68,MDV,KOR,11.0,6570.516,1228.686492,2025,Strategy 3,baseline,baseline
69,MEX,KOR,428.0,12066.01,87792.28876000001,2025,Strategy 3,baseline,baseline
70,MKD,KOR,25.0,8409.194,3573.9074499999997,2025,Strategy 3,baseline,baseline
71,MLI,KOR,5.0,12736.69,1082.6186500000001,2025,Strategy 3,baseline,baseline
72,MLT,KOR,5.0,9305.214,790.9431900000001,2025,Strategy 3,baseline,baseline
73,MNG,KOR,22.0,2003.103,749.1605220000001,2025,Strategy 3,baseline,baseline
74,MOZ,KOR,7.0,12104.01,1440.3771900000002,2025,Strategy 3,baseline,baseline
75,MUS,KOR,38.0,9691.986,6261.022956000002,2025,Strategy 3,baseline,baseline
76,MWI,KOR,103.0,11233.9,19670.5589,2025,Strategy 3,baseline,baseline
77,MYS,KOR,9.0,4614.067,705.952251,2025,Strategy 3,baseline,baseline
78,NAM,KOR,35.0,13231.29,7872.617550000001,2025,Strategy 3,baseline,baseline
79,NER,KOR,15.0,11953.51,3048.14505,2025,Strategy 3,baseline,baseline
80,NGA,KOR,726.0,11909.62,146988.53004000004,2025,Strategy 3,baseline,baseline
81,NIC,KOR,68.0,13509.79,15617.317240000002,2025,Strategy 3,baseline,baseline
82,NPL,KOR,44.0,4022.39,3008.7477200000003,2025,Strategy 3,baseline,baseline
83,NZL,KOR,740.0,10293.84,129496.50720000002,2025,Strategy 3,baseline,baseline
84,OMN,KOR,55.0,6590.233,6161.867855,2025,Strategy 3,baseline,baseline
85,PAK,KOR,404.0,4828.073,33159.205364,2025,Strategy 3,baseline,baseline
86,PAL,KOR,3.0,8153.009,415.8034590000001,2025,Strategy 3,baseline,baseline
87,PAN,KOR,68.0,14173.68,16384.77408,2025,Strategy 3,baseline,baseline
88,PER,KOR,427.0,16329.76,118537.72784000002,2025,Strategy 3,baseline,baseline
89,PHL,KOR,1866.0,2615.751,82976.85322200002,2025,Strategy 3,baseline,baseline
90,PRT,KOR,2813.0,10433.49,498939.92529000004,2025,Strategy 3,baseline,baseline
